id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
1,5,5,5,5,5,5,5,4,5,5,3,4,5,5,5,5,1,1,0,35,2
2,3,5,4,3,5,4,5,3,3,5,3,3,5,5,6,3,2,0,0,61,2
3,2,5,7,3,5,7,4,2,3,5,2,3,5,5,5,7,1,1,0,19,2
4,5,5,7,3,5,7,5,3,5,6,4,5,6,5,6,5,3,0,0,31,5
5,3,4,5,3,5,5,5,3,5,6,4,4,4,4,5,7,1,1,0,18,2
6,3,5,7,4,5,7,6,3,4,5,5,4,6,5,6,3,2,0,0,48,2
7,4,4,5,4,3,5,4,3,5,6,3,4,5,4,4,5,1,1,0,26,2
8,5,5,6,2,5,6,4,2,5,5,2,5,5,5,5,6,1,0,0,20,3
9,5,5,6,3,6,5,6,3,5,5,3,5,6,7,5,2,2,0,0,34,7
10,4,5,6,2,5,6,4,2,5,5,3,5,5,5,5,4,1,0,0,27,2
11,3,5,5,3,6,5,5,3,4,5,4,3,5,6,6,6,2,1,0,19,3
12,5,4,4,2,6,4,4,2,5,4,3,5,5,4,4,7,1,1,0,18,3
13,4,5,3,2,5,3,3,2,5,5,2,5,5,5,5,7,1,1,0,27,2
14,5,5,7,5,6,7,5,3,4,6,4,4,7,6,7,3,3,0,0,33,6
15,5,5,4,3,3,4,5,3,5,5,2,5,6,5,4,5,2,1,0,26,2
16,5,5,7,3,5,6,5,3,5,6,4,5,6,5,6,4,3,0,0,29,3
17,4,5,7,2,5,7,5,2,5,5,3,4,5,5,5,5,1,1,0,21,3
18,5,5,6,2,5,5,5,2,5,5,2,5,5,5,5,6,1,1,0,27,1
19,3,4,3,3,4,3,6,2,5,4,4,4,4,4,4,7,1,1,0,19,1
20,5,5,5,5,6,5,5,5,5,4,3,5,5,4,4,5,2,1,0,20,2
21,4,4,6,2,4,6,5,2,4,5,3,4,5,5,5,5,1,0,0,28,3
22,4,4,3,2,4,3,3,2,4,4,2,4,5,4,5,6,1,1,0,19,2
23,5,6,7,3,6,7,4,3,5,6,2,5,6,6,6,1,3,0,0,57,3
24,3,5,7,2,5,6,5,1,3,6,1,3,4,4,5,7,1,1,0,26,2
25,4,5,3,3,5,3,4,3,4,5,3,4,5,5,5,3,1,0,0,24,2
26,5,7,6,5,3,6,3,4,5,5,4,5,7,7,7,2,3,0,1,55,7
27,5,5,4,4,6,4,4,4,5,4,4,5,7,5,5,5,1,1,1,22,4
28,5,7,4,4,5,4,4,3,5,5,4,5,7,7,7,1,3,0,1,66,7
29,5,5,7,4,4,7,4,2,5,6,3,5,7,6,7,5,3,0,1,22,5
30,3,4,3,3,5,3,4,3,3,5,4,3,6,5,6,3,2,0,1,25,2
31,5,5,7,5,3,6,4,3,5,6,4,5,7,5,6,2,3,0,1,33,4
32,3,5,7,5,5,7,4,4,4,6,5,3,7,6,7,2,3,0,1,34,6
33,5,4,6,3,6,6,4,3,5,5,4,5,6,7,6,2,2,1,1,33,3
34,5,4,5,5,4,5,4,3,5,6,4,5,7,7,6,2,3,1,1,35,7
35,3,5,7,4,5,7,5,4,3,5,3,3,5,5,5,6,3,1,1,19,4
36,3,6,5,4,6,5,6,4,3,6,4,3,6,6,6,5,3,1,1,25,4
37,5,4,5,5,5,5,6,3,5,4,4,5,7,6,5,4,1,0,1,36,4
38,3,6,6,4,6,6,3,4,3,5,4,3,6,6,6,3,2,0,1,37,5
39,5,5,7,4,4,7,6,3,5,6,4,5,6,7,6,3,3,0,1,49,6
40,3,4,7,5,4,6,6,4,3,6,6,3,7,6,5,7,3,1,1,23,7
41,5,3,4,5,3,4,3,4,5,4,4,5,5,5,6,5,3,1,1,33,5
42,5,7,5,4,6,5,7,4,5,5,4,5,7,7,7,1,3,0,1,54,5
43,5,5,4,4,4,4,6,3,5,6,4,5,6,7,6,3,2,1,1,35,6
44,5,5,5,5,6,5,5,4,5,5,3,4,5,4,5,5,1,1,0,39,4
45,3,5,4,3,5,4,5,3,3,4,3,3,5,5,6,3,2,0,0,59,2
46,5,6,7,3,6,7,6,3,5,6,4,5,6,6,6,5,3,0,0,27,5
47,3,4,5,3,5,5,5,3,5,6,4,4,4,4,5,7,1,1,0,18,4
48,4,4,5,4,4,5,4,3,5,6,3,4,4,4,4,5,1,1,0,26,4
49,5,5,6,3,6,5,6,3,5,5,3,5,6,7,5,2,2,0,0,34,3
50,4,5,6,2,5,6,5,2,5,6,3,5,5,5,5,4,1,0,0,32,3
51,3,5,5,3,6,5,5,3,4,5,4,3,5,6,7,6,2,1,0,19,4
52,5,5,4,2,6,4,6,2,5,4,3,5,5,4,4,7,1,1,0,18,3
53,5,5,7,5,6,7,7,3,4,6,4,4,7,6,7,3,3,0,0,35,5
54,5,5,6,2,5,5,5,2,5,5,2,5,5,5,5,6,1,0,0,26,3
55,5,5,5,5,4,5,4,5,5,4,3,5,5,4,4,5,2,1,0,20,4
56,4,5,6,2,5,6,5,2,4,6,3,4,5,5,5,5,1,0,0,21,3
57,5,6,7,3,6,7,6,3,5,5,2,5,6,6,6,1,3,0,0,68,3
58,3,5,7,2,5,6,4,1,3,6,1,3,4,3,4,7,1,1,0,24,2
59,5,5,4,4,6,4,5,4,5,4,4,5,6,5,5,5,1,1,1,27,5
60,5,7,7,4,4,7,6,2,5,6,3,5,7,7,7,5,3,0,1,20,7
61,5,5,7,5,3,6,6,3,5,6,4,5,7,6,6,2,3,0,1,37,6
62,3,5,7,5,5,7,6,4,4,6,5,3,7,6,7,2,3,0,1,38,5
63,5,6,5,5,4,5,6,3,5,6,4,5,7,7,6,2,3,1,1,36,6